G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,Lsolu_Hsolv,Lsolv_Hsolu
-28239.4518,42.3277,386.214,2.46265,0,-0.21857,-0.36016,0.17271,-0.52718,312.472,544.8123169,11.957,13.614
-24910.1109,223.5003,223.067,5.17391,-2.23203,0.55537,-0.42657,0.53052,-1.17351,226.1452,386.506012,10.433,16.248
-25674.9289,-689.7494,216.79,1.79162,0,0.16407,-0.06132,0.11582,-0.27991,250.3389,348.6462708,10.936,15.754
-18243.7199,3.3211,109.787,1.92074,-0.77776,0.39063,-0.46017,0.44211,-0.77776,86.0902,245.2653961,12.227,15.877
-21915.6725,229.8369,168.599,8.19742,-1.06395,0.12616,-0.40614,0.53208,-0.53187,153.1372,325.3274231,10.997,15.02
-32698.7316,10.3095,467.337,7.92621,-1.42229,0.56835,-0.43065,0.35849,-1.51591,402.9169,595.6069336,11.319,15.253
-21689.3346,21.1392,182.118,3.86527,-0.46711,0.19309,-0.46711,0.35999,-1.17632,150.1798,350.076355,12.484,13.63
-29680.6559,212.6857,396.956,5.03313,-0.73385,-0.15602,-0.37528,0.29767,-0.73385,312.451,527.2573853,12.027,15.465
-19003.205,-29.65,128.323,0.175214,0,-0.38655,-0.09235,0.06242,0,92.1402,269.8972168,12.363,14.582
-23818.994,145.9471,182.463,2.8316,-1.90586,0.77809,-0.38479,0.40805,-1.90586,176.1256,339.4249268,11.69,14.865
-23750.6922,241.0704,182.454,2.83471,-1.90588,0.77797,-0.38479,0.40806,-1.90588,176.1256,339.2073364,11.69,14.864
-26280.826,-107.052,274.022,1.89507,-0.30906,1.12187,-0.41577,0.36799,-1.50687,209.2906,453.3644409,12.029,14.578
-19745.1318,81.0554,132.852,2.79003,-0.20206,-0.27939,-0.29299,0.22552,-0.49505,109.1274,281.6398926,12.522,13.833
-26435.5169,48.3249,278.462,7.23375,-1.25186,0.55445,-0.7626,1.18048,-1.41783,261.0875,443.2096558,10.865,16.254
-22755.3591,87.9595,179.536,7.09399,-0.74907,0.03791,-0.3825,0.52442,-0.35028,192.0012,324.2919312,10.642,15.694
-22371.9886,11.7772,202.973,3.18213,-0.74859,0.09563,-0.43427,0.38999,-1.08895,165.1914,356.9197998,12.303,15.008
